x,y,t
0.409507446,-0.184040259,1
0.406071019,-0.169662114,1
0.404925544,-0.158159597,1
0.402634593,-0.140905823,1
0.403780069,-0.125089863,1
0.404925544,-0.10496046,1
0.404925544,-0.0891445004,1
0.40836197,-0.0747663551,1
0.417525773,-0.0589503954,1
0.424398625,-0.0474478792,1
0.440435281,-0.0460100647,1
0.45303551,-0.0460100647,1
0.473654066,-0.0517613228,1
0.483963345,-0.0603882099,1
0.497709049,-0.0718907261,1
0.520618557,-0.0805176132,1
0.540091638,-0.0977713875,1
0.56185567,-0.115025162,1
0.57674685,-0.135154565,1
0.582474227,-0.148094896,1
0.593928981,-0.156721783,1
0.611111111,-0.166786485,1
0.617983963,-0.178289001,1
0.624856816,-0.192667146,1
0.630584192,-0.201294033,1
0.63860252,-0.211358735,1
0.655784651,-0.227174694,1
0.667239404,-0.24155284,1
0.674112257,-0.253055356,1
0.682130584,-0.265995687,1
0.690148912,-0.280373832,1
0.697021764,-0.289000719,1
0.705040092,-0.294751977,1
0.716494845,-0.313443566,1
0.731386025,-0.326383896,1
0.737113402,-0.342199856,1
0.74513173,-0.355140187,1
0.753150057,-0.360891445,1
0.768041237,-0.37526959,1
0.773768614,-0.389647735,1
0.785223368,-0.399712437,1
0.793241695,-0.41984184,1
0.801260023,-0.437095615,1
0.813860252,-0.460100647,1
0.818442153,-0.483105679,1
0.831042383,-0.503235083,1
0.843642612,-0.519051042,1
0.850515464,-0.533429188,1
0.85395189,-0.544931704,1
0.859679267,-0.560747664,1
0.85395189,-0.576563623,1
0.852806415,-0.593817398,1
0.856242841,-0.605319914,1
0.85395189,-0.618260244,1
0.850515464,-0.631200575,1
0.844788087,-0.638389648,1
0.83906071,-0.642703091,1
0.832187858,-0.648454349,1
0.832187858,-0.658519051,1
0.826460481,-0.658519051,1
0.815005727,-0.659956866,1
0.802405498,-0.667145938,1
0.794387171,-0.667145938,1
0.781786942,-0.668583753,1
0.769186712,-0.675772825,1
0.756586483,-0.681524083,1
0.743986254,-0.687275341,1
0.734822451,-0.687275341,1
0.729095074,-0.67721064,1
0.725658648,-0.670021567,1
0.721076747,-0.657081237,1
0.597938144,-0.677929547,2
0.605383734,-0.681524083,2
0.615120275,-0.691588785,2
0.626002291,-0.69805895,2
0.639747995,-0.697340043,2
0.647766323,-0.696621136,2
0.656357388,-0.692307692,2
0.662657503,-0.700934579,2
0.674684994,-0.714593817,2
0.682130584,-0.718907261,2
0.690721649,-0.720345075,2
0.707331042,-0.723220705,2
0.713631157,-0.714593817,2
0.723367698,-0.714593817,2
0.736540664,-0.72178289,2
0.74513173,-0.710280374,2
0.74513173,-0.700215672,2
0.749713631,-0.690869878,2
0.761741123,-0.690869878,2
0.779495991,-0.692307692,2
0.796105384,-0.692307692,2
0.809851088,-0.685837527,2
0.823024055,-0.680805176,2
0.831042383,-0.675772825,2
0.840206186,-0.670021567,2
0.845933562,-0.667145938,2
0.855097365,-0.659237958,2
0.865979381,-0.649173257,2
0.867124857,-0.631919482,2
0.857961054,-0.626887132,2
0.857961054,-0.613946801,2
0.855670103,-0.601725377,2
0.862542955,-0.587347232,2
0.86139748,-0.579439252,2
0.857961054,-0.566498922,2
0.851660939,-0.553558591,2
0.847079038,-0.538461538,2
0.8465063,-0.529834651,2
0.847651775,-0.523364486,2
0.843069874,-0.513299784,2
0.836197022,-0.514737599,2
0.828751432,-0.513299784,2
0.823024055,-0.506110712,2
0.820733104,-0.497483825,2
0.817869416,-0.48813803,2
0.826460481,-0.480948958,2
0.833333333,-0.473040978,2
0.840206186,-0.460100647,2
0.843642612,-0.45147376,2
0.843642612,-0.439252336,2
0.840778923,-0.447160316,2
0.848797251,-0.429187635,2
0.833906071,-0.41480949,2
0.827605956,-0.395398994,2
0.815578465,-0.380301941,2
0.796678121,-0.365923796,2
0.790950745,-0.351545651,2
0.780641466,-0.344356578,2
0.770904926,-0.339324227,2
0.762886598,-0.332854062,2
0.755441008,-0.327102804,2
0.746849943,-0.31488138,2
0.738831615,-0.307692308,2
0.729667812,-0.296189792,2
0.718785796,-0.28612509,2
0.714203895,-0.273184759,2
0.702176403,-0.274622574,2
0.697021764,-0.261682243,2
0.690148912,-0.250898634,2
0.681557847,-0.240833932,2
0.667812142,-0.231488138,2
0.658648339,-0.217109993,2
0.64604811,-0.203450755,2
0.63860252,-0.191229331,2
0.63860252,-0.181883537,2
0.628293242,-0.172537743,2
0.618556701,-0.169662114,2
0.603092784,-0.158159597,2
0.597365407,-0.148094896,2
0.591065292,-0.135154565,2
0.585910653,-0.122214234,2
0.580183276,-0.117181884,2
0.573883162,-0.107117182,2
0.569873998,-0.0948957584,2
0.559564719,-0.0848310568,2
0.545819015,-0.0754852624,2
0.540664376,-0.0618260244,2
0.528064147,-0.0452911574,2
0.520618557,-0.033069734,2
0.508018328,-0.0158159597,2
0.497136312,0,2
0.487972509,0.013659238,2
0.478235968,0.030194105,2
0.466208477,0.0424155284,2
0.458762887,0.0503235083,2
0.447308133,0.066139468,2
0.436998855,0.0812365205,2
0.427262314,0.0913012221,2
0.416380298,0.100647017,2
0.404352806,0.113587347,2
0.396907216,0.127246585,2
0.384879725,0.143062545,2
0.372279496,0.158159597,2
0.367124857,0.167505392,2
0.360824742,0.17325665,2
0.356815578,0.184040259,2
0.351088202,0.200575126,2
0.339633448,0.208483106,2
0.329896907,0.217109993,2
0.318442153,0.231488138,2
0.308705613,0.236520489,2
0.297250859,0.24946082,2
0.282932417,0.263838965,2
0.270332188,0.276779295,2
0.259450172,0.29403307,2
0.246849943,0.309130122,2
0.239213058,0.312005751,2
0.227758305,0.319673616,2
0.217831615,0.320632638,2
0.206376861,0.334051761,2
0.198739977,0.343637671,2
0.182703322,0.354181165,2
0.171248568,0.358015816,2
0.158266896,0.352264558,2
0.151394044,0.348429907,2
0.137648339,0.351305536,2
0.123138603,0.35322358,2
0.112447881,0.347472322,2
0.109392898,0.335969806,2
0.100993127,0.320632638,2
0.0987021764,0.303378864,2
0.0987021764,0.284208483,2
0.0979381443,0.265036664,2
0.103284078,0.248741912,2
0.104046964,0.235322789,2
0.111683849,0.221902229,2
0.12237457,0.207524083,2
0.123902635,0.193145938,2
0.133829324,0.179726815,2
0.140702176,0.171099928,2
0.149103093,0.163432063,2
0.155211913,0.151929547,2
0.162084765,0.142343638,2
0.165139748,0.123173257,2
0.170484536,0.107836089,2
0.166666667,0.0934579439,2
0.161320733,0.0848310568,2
0.165139748,0.0704529116,2
0.172775487,0.0627850467,2
0.177357388,0.0484069015,2
0.180412371,0.0369043853,2
0.183467354,0.0282774982,2
0.184230241,0.0177325665,2
0.18193929,0.0081480949,2
0.17583047,-0.000478792236,2
0.178885452,-0.016774982,2
0.177357388,-0.0311531272,2
0.190340206,-0.0464888569,2
0.197213058,-0.052240115,2
0.199504009,-0.0647016535,2
0.206376861,-0.0771631919,2
0.214776632,-0.0848310568,2
0.225467354,-0.103043853,2
0.228522337,-0.121255212,2
0.236922108,-0.131800144,2
0.248376861,-0.142343638,2
0.260595647,-0.15863839,2
0.27357732,-0.178767793,2
0.287323024,-0.190270309,2
0.29954181,-0.214234364,2
0.301832761,-0.230529116,2
0.313287514,-0.244907261,2
0.326269187,-0.259285406,2
0.330088202,-0.269830338,2
0.33543299,-0.283249461,2
0.343833906,-0.298586628,2
0.351469645,-0.307213515,2
0.356815578,-0.318716032,2
0.369034364,-0.331176132,2
0.377434135,-0.3465133,2
0.375143184,-0.358974838,2
0.382780069,-0.37526959,2
0.388888889,-0.387731129,2
0.402634593,-0.394439971,2
0.412562428,-0.40690151,2
0.425544101,-0.419363048,2
0.437762887,-0.433741193,2
0.446162658,-0.448119339,2
0.45532646,-0.458662832,2
0.464490263,-0.472081955,2
0.472127148,-0.482626887,2
0.488163803,-0.500838246,2
0.495799542,-0.515216391,2
0.502672394,-0.526718907,2
0.508018328,-0.538221423,2
0.514127148,-0.547807333,2
0.523290951,-0.562185478,2
0.532454754,-0.573687994,2
0.535509737,-0.586149533,2
0.543146621,-0.592858375,2
0.55078236,-0.606278936,2
0.559183276,-0.606278936,2
0.57063803,-0.612030194,2
0.580564719,-0.622573688,2
0.579037801,-0.635992811,2
0.580564719,-0.650370956,2
0.585910653,-0.659956866,2
0.594310424,-0.669542775,2
0.167239404,-0.0913012221,3
0.15712142,-0.0867476636,3
